i,j
4014,8591
2973,844
3730,5902
1454,1827
1964,1986
11219,9631
1592,9672
2365,9157
7771,1469
4968,4426
10960,3985
7021,6645
736,2560
4969,10691
2266,6013
1051,11349
4271,9157
3165,9004
4797,5373
3360,10426
874,877
3386,11162
262,2753
1252,7278
10478,5282
1490,464
6154,5281
5140,4016
9765,6877
8702,2490
2543,5391
984,1771
2596,2832
1025,7897
5066,6731
54,3291
2790,6972
1554,7082
1899,718
7061,3088
2539,11425
1091,3154
5294,7623
8269,6403
1728,10920
7143,554
8888,7806
9744,3182
9296,3160
6543,9187
4156,3693
2650,333
1282,3784
140,5391
5832,7626
5980,6362
4,8627
10762,888
2154,522
347,9756
5310,2214
1153,5192
58,8962
3481,6369
6364,8613
7098,3560
1910,6899
4771,11449
5044,6272
7522,4290
9121,4191
3026,2886
4740,11237
5879,1176
9077,3967
2942,6696
9860,6832
5391,10207
10072,2893
11348,4607
2401,8998
4520,3892
5791,3595
2635,8961
7101,9476
4342,10149
8714,3866
4545,6237
2031,1729
2871,4857
8910,241
6115,9195
4223,1630
10409,8810
5385,3940
1627,3259
4546,2503
2940,8670
11539,7570
9862,729
6595,7815
6521,8991
7005,3251
9432,225
8776,7540
10360,1167
7493,9228
421,11363
10828,4463
5388,6054
6428,5071
6324,10217
2276,9679
6942,1006
2073,2581
2156,1694
3683,8774
8631,547
10533,11067
2782,3032
236,1153
684,6333
4886,10083
3151,4047
8046,5938
8791,1046
2191,9453
6170,7909
8849,1086
7985,4723
1403,7033
7147,4324
1877,6111
804,449
8283,3944
6462,2044
6974,6550
8584,3391
681,518
5279,6703
2534,2013
6047,11372
11467,4267
6014,6057
6177,136
9395,2403
2524,4627
4444,8690
6528,10048
10807,8470
4559,2836
2534,3230
9217,1758
5178,8269
9325,1732
6777,808
10508,1716
2407,3188
1154,2478
7619,6234
1098,2452
1146,5578
2534,568
10855,10712
6847,5181
5078,11541
10046,469
8268,2584
6223,7412
3697,1883
260,1927
4769,1354
8944,1239
3975,6562
2551,7053
7780,7898
9257,5901
7144,7467
2702,1752
280,6328
2070,2140
3883,4516
10313,644
1447,3821
9362,2291
3334,1706
6948,1933
595,2670
6148,1333
7450,8670
1697,9611
2749,9185
1053,3544
7672,6730
6367,2847
1845,18
270,736
2340,5638
7488,6104
510,6898
804,8613
2287,1717
6512,2026
1819,6061
8245,1445
11227,7748
1079,1633
3772,11295
8242,9145
3798,6222
5255,742
1171,232
137,1960
7414,10411
4911,7601
8774,7808
11507,10461
7568,1822
7198,6850
7565,3817
4520,5291
3686,6311
2804,10558
8539,807
6048,2708
2556,7114
1446,6036
3253,4327
7783,1920
6936,6824
9163,11475
5965,2991
3349,1765
7290,9018
2961,10818
908,6935
11204,5351
7302,9314
1119,3888
7337,6742
2887,6515
6164,88
7843,6172
574,3529
1652,4070
2269,2684
4496,10823
3143,936
4664,4311
7457,7323
10318,5366
7248,1912
4987,779
2382,10769
1593,7248
6381,3317
7289,6596
4184,6405
4128,3496
1655,7885
5665,2133
8360,2289
8179,4100
6306,5302
3964,606
6243,8951
2131,953
10746,10052
8326,8213
2436,10746
2353,10542
1371,2780
8953,5136
4016,6719
1077,2255
11287,4826
6203,6045
3251,1101
1582,3302
3852,992
4341,1332
3052,9698
2126,7074
5325,10057
4615,2555
2347,6767
11446,2476
3420,3980
7297,7777
874,8378
5478,2962
3586,2512
4290,7027
4298,4319
3742,8540
5391,1738
8853,6506
4877,7945
1342,6874
3057,2581
2911,4699
944,2424
7574,6023
1191,6574
5328,6401
973,5166
431,6946
9699,3502
8988,3794
9699,3811
4821,6471
3334,9133
7098,975
10986,8956
3673,4247
6118,5927
9661,3735
6156,2863
6950,861
6064,2475
7467,6532
1417,6538
10066,2147
7100,9303
7086,10542
3631,6340
3734,8434
5804,9706
1552,2396
11202,5875
1583,6132
9754,4733
10562,4017
344,7475
13,4021
3712,6346
2885,10560
9708,6511
8414,2158
11471,4780
10353,7757
4151,1688
2414,7559
10857,6373
11478,8992
4791,6061
2071,5630
11486,2982
1641,284
3812,9105
3279,4223
3585,2966
816,9514
10354,3406
4609,4243
7640,5328
8717,6276
1256,7244
6030,11381
4207,3526
5972,4288
2982,8300
7085,9004
6975,11343
148,1142
9292,5329
3987,2366
8192,4098
7444,5375
180,7092
8649,710
4384,11478
7252,6382
11432,3449
1998,1572
2687,2941
970,318
4962,1993
5055,5777
1786,10643
3118,5161
9583,3432
11466,10084
4625,1189
6961,5398
10117,826
6624,4824
8431,6518
2017,5963
6245,6948
4767,723
1978,8451
9291,2691
3412,5546
4389,6646
324,2760
8688,2447
5142,2684
4900,5520
8686,715
6279,606
7519,10586
8399,3925
5882,9098
7956,7691
7469,7760
9344,6053
2773,11458
11521,4349
1688,1015
155,4716
7252,1068
2429,4449
11244,2837
3803,4367
10101,4924
2274,6036
4008,9318
3009,1270
1346,8829
9764,1549
1677,10423
6023,7651
10300,10766
777,10969
7071,9705
366,3689
447,323
5795,95
1366,2070
7948,4022
5019,4236
7105,6147
446,1010
1009,2900
1618,1458
3622,3299
7125,6617
5205,10763
1624,9173
9667,6852
7389,2239
6912,8286
3689,2496
5966,1640
7357,5543
2456,8036
5574,2081
8949,3824
8394,1275
2048,3581
1256,9475
8848,348
2962,7956
1058,8655
2938,7691
4182,9711
458,10983
7164,2751
6020,11152
8773,3451
444,4774
2225,10944
8584,7978
8264,147
6528,7620
2826,9635
4853,1691
5496,10467
11167,11349
1332,651
740,6193
1332,5378
6322,7490
3913,4289
1801,8115
2888,247
2402,6214
9165,2747
446,7965
5789,6525
10335,9403
103,6892
7677,136
8732,4887
8573,64
1690,1188
7491,11245
8896,4154
2182,9013
8944,1283
7837,37
8175,3443
598,2357
8593,2725
1518,1698
4446,5781
4378,8823
7271,3581
3520,8297
3170,4375
4173,11295
6921,10769
3305,2218
5045,9402
160,10231
7549,4331
3156,338
470,5020
749,11153
4177,2051
1030,10390
3342,2399
9108,5765
4483,8516
520,427
2603,2473
5609,924
6968,9457
3027,8407
1015,10460
5567,1991
4421,5672
7186,4144
4187,3877
3122,6298
2875,11387
4873,2348
1873,1630
7531,7136
3275,3110
2115,1101
6943,3961
3861,7126
2317,1409
3316,4856
1849,11181
1799,4774
5518,6744
1885,8945
8780,3655
7174,10943
8226,2844
10600,3737
9258,8178
3929,8664
11493,3219
2751,9310
2026,9681
6122,10767
9670,5773
1595,7053
6142,807
1446,7099
3139,7543
1949,3244
8196,3609
814,4001
3639,11363
1621,6633
971,1969
2598,7568
3589,7628
7472,1773
10559,5058
1719,3298
9739,7622
2016,2620
10431,11551
6424,10216
3074,10334
9073,8461
4523,9464
4439,10872
2877,8402
9670,10211
7527,1012
9195,7215
749,383
2041,6375
4881,8340
2117,8700
9412,2633
1315,3748
2501,1778
4171,427
2238,3370
6594,6961
622,9158
10543,1117
5114,10584
3214,7471
6789,1922
11539,9521
4699,3503
10300,4698
3076,6073
3611,792
11472,7637
3316,7413
8251,4929
5633,7271
4064,1160
434,7330
8461,4133
469,8672
3202,3746
8698,9517
4314,7090
8735,8311
1337,5486
7702,4613
413,10454
1138,2468
4750,301
256,1049
4396,8443
137,10765
2338,4427
3208,11494
8946,10188
7965,1095
4908,3645
7560,6182
3923,9862
4553,3280
481,510
7443,1352
5418,565
2522,3290
5348,7052
5781,4029
9345,3501
9382,8659
3178,6209
6175,934
5881,2347
10848,6526
7554,3933
6574,1224
2643,15
4667,3790
1955,156
1184,4662
1,72
10155,10510
5884,3577
10758,2254
3170,9736
4860,5074
7186,1050
7150,85
5508,7386
5187,7641
10854,2126
6598,8924
4043,10783
891,2201
2258,7443
9447,4136
5978,2163
7352,10804
5621,5525
1217,1196
9324,10977
7607,2258
1622,8114
2581,10047
707,1534
4781,6686
8970,7639
9693,2013
6895,11435
2878,536
11248,7616
964,2436
3774,2056
1216,304
937,5282
1012,6106
1148,434
8109,9012
6867,1293
4600,6813
8612,798
9127,5849
8011,6830
3760,7565
1007,1192
67,8705
1493,7347
7120,2964
7412,9683
8265,7216
7336,186
8782,1151
1292,1147
6388,4317
5185,10179
7828,951
4002,10368
8560,10393
7773,6948
7757,6674
3478,5830
1769,5340
6083,11203
5558,3774
2285,1046
269,8541
8285,2195
554,61
1340,9014
11363,8709
2312,589
10692,9244
3613,1302
3600,4370
6960,9685
2536,6667
10560,2313
8628,5725
11390,10376
713,7424
3601,3801
5900,7540
7898,7368
11532,6082
7691,8714
280,9745
6191,2365
3473,9031
10737,60
9432,5088
2841,11210
1809,5192
1408,8669
5090,3365
2090,6652
638,3957
11069,2101
4914,7074
5490,7385
88,2014
5261,10083
9455,2255
6051,3577
3786,9734
8692,7396
4561,11226
1927,6579
2626,376
1772,9038
7881,3331
7946,1261
4919,6648
2457,7751
756,330
1479,3559
7946,2709
3793,5507
5291,2397
4449,6526
7841,3262
7929,5682
7460,3650
5251,10228
7989,4483
921,6419
7990,9015
2740,8825
1968,3455
4278,5475
10698,7620
1986,3206
6473,4177
433,578
1839,11400
6777,1561
5513,4531
4392,3711
3340,3575
1089,5797
6115,5055
7970,1678
1532,3924
6320,5685
140,4375
9583,10691
2441,714
2238,7955
3826,2889
6493,1441
3698,3242
4322,618
5493,3232
10224,5101
1814,1508
9311,3393
65,1125
8238,8533
6075,1395
2825,10048
1112,5202
11255,5879
9323,2734
3826,8664
10241,9671
3481,9854
3117,4393
3768,9708
9782,5165
6949,9469
4658,10455
8677,2004
2920,401
8097,11487
4367,5855
1883,8798
8608,3484
1381,7309
6808,2820
2033,7379
1768,1806
2347,6599
5823,2046
5421,309
9758,1970
6777,1614
10417,6917
3095,11545
5858,5882
3629,714
7932,8165
737,8801
1868,5084
102,3323
4763,10244
1111,8867
5510,4174
1424,2110
1994,281
100,53
2113,4214
3091,10877
4278,11234
11333,1245
7322,11233
6511,8852
7673,11195
10673,9841
403,373
10563,2021
11237,1584
5438,11413
8107,8795
10417,1498
7772,6848
1250,9504
7362,4086
1344,7736
3420,2411
629,2929
1737,9107
1868,6190
1586,4751
8767,4738
4809,5008
8288,3166
3538,5963
10712,4263
6367,10942
49,208
9664,2055
3399,372
8532,8778
5883,2288
5787,280
3686,846
4832,8050
3737,2321
1872,8472
4277,3618
8056,11361
5708,1606
2732,5592
1702,7466
643,7139
2395,7906
8991,4471
4242,9763
1045,9125
2062,9505
8738,3391
2395,1525
6044,7345
3791,1411
2167,8962
9251,8334
8122,3896
6279,3151
7018,4443
2747,189
9088,175
1663,2599
5686,7505
853,4576
2009,10478
2415,5734
2707,4469
6416,11237
3146,1756
5998,4762
9279,5107
11255,3513
338,7702
4499,9520
3874,1731
4346,5728
4635,6224
2392,10590
2995,11329
9128,1825
3206,4040
7847,4363
413,4104
10861,3785
2665,1165
7779,3055
930,5203
6881,11450
3352,3735
2332,918
3959,2435
674,8060
2515,555
2268,2062
5162,10402
2051,1215
3898,6967
6771,2042
4009,8686
5133,5560
1770,2485
5115,4351
881,5430
11196,4929
4778,4098
7107,3597
4238,5646
8473,567
8298,9747
8788,5832
3297,10427
9893,1467
2734,1469
6874,7826
4714,636
10151,10064
5550,4863
3547,1531
3065,6683
3529,6556
3339,2558
7265,11529
9321,1300
3351,9508
4051,2204
9113,1609
2526,10218
11193,4083
7828,11341
4341,2065
4151,3297
4625,10115
3910,2456
5028,1131
10395,42
3924,9074
1840,4311
7895,11475
7632,9125
2915,500
6111,1052
4095,6401
5676,3640
7506,3025
2450,1785
339,4930
3460,1063
10646,7159
8601,4824
9461,1326
1634,2580
1262,65
9682,4867
7383,1886
1493,408
4642,7349
10291,704
920,2323
1246,2472
7612,7292
4670,1949
181,2814
9717,8103
11505,11370
1719,9739
2424,11413
7561,6413
11201,7662
6450,7365
7055,4529
10332,3037
6118,713
1790,6930
4405,5509
5854,7433
1305,2512
5362,9228
1260,9229
10698,7291
5218,2586
297,10825
2062,3087
3036,8543
10699,5704
650,3701
6394,11485
7483,5355
2929,9815
7824,4990
858,9309
5073,535
7757,9447
3898,564
10639,1185
1562,11414
9118,3045
2614,5375
9309,10147
452,222
11158,9675
1032,5504
9324,2748
9404,4811
11513,4683
6967,2915
3709,4478
5811,22
9474,3625
4860,6510
9258,5029
683,7152
5766,3988
4203,4104
5896,2672
9195,2952
2629,11004
6389,4218
1044,2136
7132,762
10316,1763
3492,2033
5,406
1395,11512
1850,11389
8197,5833
509,10787
1604,6169
489,7925
939,7168
4136,341
1620,6978
126,7765
5334,1052
2626,5107
9670,7674
212,3157
6966,8919
8540,9474
1331,2895
7024,7228
5477,2963
6588,4101
6440,6659
2823,5226
2808,8513
8385,8954
4407,1225
6198,7037
7372,7492
4685,7865
8696,4728
2478,7298
6251,10542
11202,10584
10972,5332
9455,1428
9191,1844
6473,11330
11194,7088
4917,10464
8674,8367
395,2867
11544,625
4678,10585
3604,7907
4439,8340
1469,11288
7417,7252
1217,4188
10849,2473
971,1562
9386,8846
6357,6942
7441,1814
2419,4794
11391,2613
3123,1086
239,8258
3653,8122
1736,565
11290,6164
2790,5132
7813,1512
5838,1993
2737,4788
7569,7522
6559,4435
7841,10942
3871,6115
3161,2122
150,8806
10333,3749
6315,4136
6744,8575
3688,3177
6636,4988
8048,11480
7184,6305
5134,1217
3452,3960
4335,1350
5534,1007
6372,7454
10533,579
4728,7399
7933,10624
3923,4764
8057,303
11178,2523
4451,9720
3997,6981
597,7756
1557,9447
7332,1898
8017,11501
9195,1279
4684,6209
5734,10819
8471,10348
2082,3773
5128,3708
2580,8530
4820,9049
1116,6986
2099,7340
4512,1992
6616,5138
4500,4870
4739,3096
5119,8319
479,6363
9686,7002
880,7228
2918,7384
10210,884
1704,6998
11415,3975
3871,11372
5069,1124
9333,6030
138,6173
93,6220
6480,4658
8116,5626
1871,7890
2161,1160
2447,5215
7347,1119
1042,10737
10562,246
7081,7559
11357,4951
1050,8225
4709,4749
4505,3355
6988,5466
1996,4496
2087,7708
5394,3668
10382,9042
10593,2365
6509,3393
8706,4654
10534,4322
1034,284
8338,3839
9593,3423
6504,7237
3685,8402
930,7224
7027,5357
8259,1695
5144,6644
7534,1049
3283,10365
8239,11463
4899,365
2381,4144
476,4766
4849,398
9764,4824
3181,2843
11210,9310
1565,7140
5509,6888
8989,10364
7017,7506
8522,8250
1856,6363
3777,2004
9250,10987
5449,7538
3784,957
11488,9227
11521,6846
3779,3535
11189,1778
4917,10542
4262,6057
7147,4250
4702,8324
2072,7239
1788,1182
8691,1383
7667,7370
2463,8510
4345,5330
8903,9634
2347,6428
9688,406
3474,3068
2356,227
3041,6491
5183,1312
542,5266
1459,8636
4854,610
919,3388
5760,1313
2902,5280
4127,8893
9737,5332
2590,1891
9352,10777
5088,1246
558,11217
3458,386
7178,7513
7178,4016
5822,1681
4879,11542
1621,1295
3519,3181
9128,6403
4308,3460
8200,10989
7734,6113
2009,9305
4153,6600
6039,4650
8995,8913
8992,1844
11163,10186
6222,1020
348,9092
2395,4233
7880,11227
7127,1202
9674,2102
7267,10346
3834,9230
2926,11434
3753,3751
10456,297
2215,8199
3309,3188
896,9688
7948,761
468,8803
5266,6393
11193,11485
1495,10417
1549,2291
5504,1399
7993,8840
9690,1507
4170,1182
3808,3682
867,3501
1880,3309
3305,1012
8119,9731
3831,3014
1508,7369
2207,375
1784,3111
5523,8765
4521,4300
4315,348
6999,4805
3882,6915
5396,1540
6972,5344
3977,10591
5543,546
3360,4499
2748,6298
5030,8607
10827,987
10828,9782
4934,488
11484,602
8440,6349
5771,8730
6492,4552
1709,6129
728,7521
5204,4340
8888,635
9416,10108
2600,3848
7817,6530
7973,4875
7147,459
2899,8356
981,9463
1377,436
10979,8396
4673,1145
6492,6046
8837,1683
9698,2047
1656,4179
11159,10526
142,8584
10498,4607
10154,1928
11002,1281
4312,8546
9353,616
8397,7265
7949,1631
473,2392
11005,1296
3720,8285
11363,7023
8677,4471
1937,4148
3276,1019
5008,6133
2580,1247
9814,11491
3826,2674
5389,6942
4218,3831
3623,6511
877,3243
474,8767
8095,6880
11460,3464
5503,10057
9357,630
1808,2500
7113,1498
10920,6123
299,7986
7642,9357
4040,8109
10141,2905
5764,5759
4516,2201
11363,6893
5376,8681
9467,6204
6237,3174
2442,3167
2623,11243
5011,6994
6620,6632
2345,4605
5183,6280
7674,112
7675,9688
7993,5811
6994,2534
898,7357
8148,5755
9191,2888
5848,5720
1120,7218
1469,5147
7095,9100
4782,4235
1777,6406
4667,145
5335,7849
9515,1785
10641,3194
10826,8719
10872,1059
7490,461
7373,9471
7823,8387
3684,3410
8840,9155
7708,9464
3563,11422
3763,8302
261,2267
6414,8325
8858,5093
2343,7120
7154,3321
9846,10378
1630,8648
6271,4682
1916,1891
9158,2631
5218,3684
5299,4412
5371,8327
3882,6445
4129,4035
2682,1005
11348,1251
2736,110
299,8573
10046,7892
3510,2520
6040,483
6300,1424
7502,4067
2748,11401
1825,9738
3279,1627
1130,1263
3689,9729
778,4520
7314,8038
7453,3510
1142,5519
7756,5260
9687,179
3777,998
2398,2214
7234,1918
5814,492
2525,7347
11242,10932
1086,11325
2284,6524
5120,6292
10216,8965
6985,7342
7345,11232
4291,4129
5347,11458
2869,8148
3555,1076
3893,6947
2707,187
1291,5166
2231,8883
1459,5448
1627,8119
5820,787
918,4963
4086,4014
427,3315
7722,4857
2391,5875
2018,11349
8577,9731
3089,6905
832,11440
4279,383
5611,5443
6679,2610
5502,668
7895,6955
4122,5953
3300,11459
5632,6999
828,833
4082,759
4952,2880
6582,11349
7631,3291
6384,2329
3796,1622
3844,2517
2682,5906
2623,3422
7425,8994
3815,6642
3935,9408
2233,2364
4136,1409
516,3763
8053,6579
1999,4515
6306,545
7165,3971
3117,3187
11226,5645
7525,6655
7901,10634
7991,1924
7090,6052
8020,489
11360,1486
4620,4974
6596,1867
290,2691
11229,6166
2896,5142
9362,5096
8805,2038
5765,4815
4663,3769
3251,11333
9330,7459
3221,8542
1202,4370
9737,2884
5253,9128
5150,3695
6480,9333
4098,3806
5093,1173
10838,11293
2541,6783
7271,3416
4621,9482
9199,2446
4814,10757
6670,7008
1380,10930
6346,11256
4285,7892
10756,288
11161,4083
5613,2100
4341,8053
7565,7498
6566,3956
5760,3442
1650,234
8715,240
9348,6472
2903,2992
10599,2311
5020,4716
4319,6976
5773,5594
4355,3167
453,8736
9475,5966
1147,3414
7349,2270
4076,3135
513,2882
7479,466
11428,7366
8226,4463
2527,6242
7662,5258
7238,10
10675,6616
33,6797
9845,7374
9142,9206
1407,6472
9345,7563
1039,7847
4925,5186
7544,9280
7217,5454
8902,778
8669,8372
7756,9006
206,3000
10189,2614
10217,2331
887,9026
2587,8055
5678,10177
2283,8709
6533,1675
5973,1142
4246,5552
5656,1444
7422,5044
2827,1441
807,775
8672,862
1700,4822
6381,6648
4508,5354
505,5391
8105,7903
5416,7506
2177,1775
8704,9251
6781,3154
466,2741
6153,11518
11369,3487
557,2429
11426,9727
11528,11156
6339,5271
8832,11425
10368,4366
10061,200
8849,8394
2970,4252
207,830
3671,7177
520,5339
7612,1636
10648,9692
4557,9317
7699,2417
1398,6559
884,10379
11550,1659
3198,9474
5029,7498
8226,2443
7818,1576
10190,2929
3252,9311
5281,840
10766,10116
4516,3114
2548,3808
1351,8336
4776,1129
4367,2767
6205,90
7619,1908
6521,526
3074,5425
1573,8264
7959,3788
5185,9246
100,6797
8340,11202
11516,1138
6147,5812
1451,464
3164,4714
7361,3241
3386,9319
1103,9023
736,650
6057,389
10838,10757
6783,4894
3234,6846
260,7606
1949,5887
11201,887
9345,5296
4228,6244
6318,7343
3679,74
11467,8334
2134,11149
10512,10976
9073,2690
5170,3386
11465,1791
9274,2467
1936,4008
1666,11209
10182,144
772,607
1915,5774
3192,1692
756,3173
1754,4727
688,11179
5132,3845
3596,2469
1392,112
5526,7979
2143,8394
8539,1293
8536,8961
8264,4562
7888,4800
4437,10326
1771,904
11353,7235
10085,995
11017,1045
8999,4767
7058,4556
10218,4793
3823,4959
2909,11254
2436,10076
1993,3851
4257,4206
3711,4981
4275,11344
6390,5355
4296,263
2617,790
3084,1977
371,3885
7369,9291
1173,103
5929,9998
8832,2919
4752,3721
3443,3895
8730,2826
6832,7950
8834,3381
5451,956
7440,9087
1056,6809
727,2411
5163,3243
1816,1363
7849,7639
6889,3993
3370,1268
10922,3904
2079,9692
6853,10981
2956,1747
6374,10321
682,9356
3604,4065
10143,6923
2963,11468
10151,4674
5524,5681
9845,307
1909,2486
3956,9248
462,9248
11288,5786
3591,3949
3118,11071
10637,9755
4874,893
3164,8288
5574,6121
1959,1348
5791,3682
4485,5718
7957,6230
1000,988
10454,7161
7699,11549
2315,9385
8622,7554
4329,5556
9472,6030
6990,876
7536,6930
10157,7185
4070,7088
2611,2601
1950,926
2287,5029
171,2955
7888,3194
5778,8858
3249,3961
9147,5911
3583,3209
9415,829
10577,8287
5828,1110
4208,6609
993,22
11070,5241
5585,989
11068,1266
1199,1405
5488,7193
7713,675
9524,4592
1825,6237
2367,5397
11341,3481
10876,3653
7533,6667
1036,5611
5926,2742
2183,676
8846,412
3820,2536
4777,2147
3224,784
3964,517
9393,9837
10698,2013
11420,7809
8909,853
1309,2865
7225,9410
5803,2282
5793,914
7866,5129
6227,9308
5809,1309
10168,2525
3548,6466
2873,1396
7098,3389
8681,7400
251,6721
257,8688
835,6968
1670,6568
6081,10819
9125,6572
10211,6675
8146,2587
5862,10592
8339,688
1930,465
7058,1925
3554,8430
393,3431
2278,1054
8872,8833
8116,2510
6943,7978
10984,2543
7639,6987
2800,1168
6054,5657
11349,3535
4205,6658
3791,8950
1461,7499
10461,3442
5239,5916
8055,5495
2584,7267
2807,8451
11204,996
1705,10484
9024,4871
7957,6132
3803,6577
455,6130
2606,565
6405,2414
8787,5988
3120,2596
1767,9464
6025,4083
5505,173
5331,171
1153,4433
6271,8571
9100,7460
10763,8443
6606,3040
839,506
7152,2639
1411,9158
8220,1231
1194,1880
4174,7305
2052,9676
5646,2622
1847,3543
2722,2956
6988,4615
11337,1321
7308,5260
9737,7135
7208,2921
1354,9518
43,8216
938,2084
2691,8437
4353,3150
3104,9646
402,3108
17,4491
4691,5298
5766,5987
5861,4123
3211,1230
193,7355
379,11441
11178,426
5958,6923
1431,2913
6015,6362
2167,5970
